"","peak_id","peak_name","peak_alternative_name","height_metres","climbing_status","first_ascent_year","first_ascent_country","first_ascent_expedition_id"
"1","AMAD","Ama Dablam","Amai Dablang",6814,"Climbed",1961,"New Zealand, USA, UK","AMAD61101"
"2","AMPG","Amphu Gyabjen",NA,5630,"Climbed",1953,"UK","AMPG53101"
"3","ANN1","Annapurna I",NA,8091,"Climbed",1950,"France","ANN150101"
"4","ANN2","Annapurna II",NA,7937,"Climbed",1960,"UK, Nepal","ANN260101"
"5","ANN3","Annapurna III",NA,7555,"Climbed",1961,"India","ANN361101"
"6","ANN4","Annapurna IV",NA,7525,"Climbed",1955,"W Germany","ANN455101"
"7","ANNE","Annapurna I East",NA,8026,"Climbed",1974,"Spain","ANNE74101"
"8","ANNM","Annapurna I Middle",NA,8051,"Climbed",1980,"W Germany","ANNM80301"
"9","ANNS","Annapurna South","Annapurna Dakshin, Moditse",7219,"Climbed",1964,"Japan, Nepal","ANNS64301"
"10","APIM","Api Main",NA,7132,"Climbed",1960,"Japan, Nepal","APIM60101"
"11","APIW","Api West",NA,7076,"Unclimbed",NA,NA,NA
"12","BARU","Baruntse",NA,7152,"Climbed",1954,"New Zealand","BARU54101"
"13","BAUD","Baudha",NA,6672,"Climbed",1970,"Japan","BAUD70101"
"14","BHEM","Bhemdang Ri","Morimoto",6150,"Climbed",1964,"Japan, Nepal","BHEM64101"
"15","BHRI","Bhrikuti","Damodar Himal",6476,"Climbed",1982,"Japan, Nepal","BHRI82101"
"16","BOBA","Bobaye",NA,6808,"Climbed",1996,"Slovenia","BOBA96301"
"17","CHAM","Chamlang",NA,7321,"Climbed",1962,"Japan, Nepal","CHAM62101"
"18","CHAN","Changla","Changla Himal",6563,"Climbed",2010,"Japan","CHAN10301"
"19","CHMN","Chamar North","Peak 23",7165,"Climbed",1953,"New Zealand, Nepal","CHMN53101"
"20","CHEO","Cheo Himal",NA,6820,"Climbed",1991,"Japan, Nepal","CHEO91301"
"21","CHOY","Cho Oyu",NA,8188,"Climbed",1954,"Austria, Nepal","CHOY54301"
"22","CHOB","Chobuje","Chobutse, Tsoboje",6686,"Climbed",1972,"W Germany","CHOB72101"
"23","CHOL","Cholatse","Tsolatse, Jobo Lhaptshan",6423,"Climbed",1982,"USA, UK","CHOL82101"
"24","CHOP","Cho Polu",NA,6700,"Climbed",1984,"Spain","CHOP84301"
"25","CHUL","Chulu Central","Chulu East",6584,"Climbed",1955,"W Germany","CHUL55201"
"26","CHUG","Chukyima Go","Chugimago",6258,"Climbed",2014,"Slovenia","CHUG14301"
"27","CHUR","Churen Himal Central",NA,7385,"Climbed",1970,"Japan","CHUR70301"
"28","CHUW","Chulu West",NA,6419,"Climbed",1952,"Japan","CHUW52301"
"29","TAPL","Taple Shikhar","Cross Peak",6447,"Climbed",1998,"Japan, Nepal","TAPL98301"
"30","CTSE","Changtse","Everest North Peak",7583,"Climbed",1982,"W Germany","CTSE82301"
"31","DHA1","Dhaulagiri I",NA,8167,"Climbed",1960,"Switzerland, Austria, W Germany, Nepal","DHA160101"
"32","DHA2","Dhaulagiri II",NA,7751,"Climbed",1971,"Austria, USA, Nepal","DHA271101"
"33","DHA3","Dhaulagiri III","Nalu, Naula",7715,"Climbed",1973,"W Germany","DHA373301"
"34","DHA4","Dhaulagiri IV",NA,7661,"Climbed",1975,"Japan","DHA475101"
"35","DHA5","Dhaulagiri V",NA,7618,"Climbed",1975,"Japan, Nepal","DHA575101"
"36","DHA6","Dhaulagiri VI",NA,7268,"Climbed",1970,"Japan","DHA670101"
"37","DHAM","Dhampus","Thapa Peak, Marpha Peak",6012,"Climbed",1960,"Austria","DHAM60101"
"38","DOGA","Dogari",NA,6536,"Unclimbed",NA,NA,NA
"39","PEMK","Pemthang Karpo Ri","Dome Blanc, Kan Karmo",6865,"Climbed",1955,"Switzerland, Nepal","PEMK55101"
"40","DORJ","Dorje Lhakpa",NA,6966,"Climbed",1981,"Japan, Nepal","DORJ81301"
"41","DRAN","Drangnag Ri","Thaknak Ri",6757,"Climbed",1995,"Norway, UK, Nepal","DRAN95101"
"42","DROM","Drohmo","Domo, Longridge Peak",6881,"Unclimbed",NA,NA,NA
"43","EVER","Everest","Sagarmatha, Chomolungma, Qomolungma",8850,"Climbed",1953,"New Zealand, India","EVER53101"
"44","FANG","Fang","Varaha Shikhar, Varaha Chuli, Finger",7647,"Climbed",1980,"Austria, Nepal","FANG80101"
"45","FIRN","Firnkopf","Firnkopf East",6730,"Unclimbed",NA,NA,NA
"46","FIRW","Firnkopf West",NA,6745,"Climbed",1987,"Austria, W Germany, Nepal","FIRW87301"
"47","GAMA","Gama Peak",NA,7187,"Climbed",1970,"Japan","GAMA70301"
"48","GAN1","Ganesh I","Yangra Kangri",7422,"Climbed",1955,"Switzerland, France","GAN155301"
"49","GAN3","Ganesh III","Salasungo, Kang Lombo, Lopsang Karbo",7043,"Climbed",1979,"Japan, Nepal","GAN379301"
"50","GAN2","Ganesh II",NA,7118,"Climbed",1981,"W Germany, Nepal","GAN281302"
